Day,Trend_Score
11/17/2019,0
11/24/2019,0
12/1/2019,0
12/8/2019,0
12/15/2019,0
12/22/2019,0
12/29/2019,0
1/5/2020,0
1/12/2020,0
1/19/2020,0
1/26/2020,0
2/2/2020,0
2/9/2020,0
2/16/2020,0
2/23/2020,0
3/1/2020,0
3/8/2020,0
3/15/2020,0
3/22/2020,0
3/29/2020,0
4/5/2020,0
4/12/2020,0
4/19/2020,0
4/26/2020,0
5/3/2020,0
5/10/2020,0
5/17/2020,0
5/24/2020,0
5/31/2020,0
6/7/2020,0
6/14/2020,0
6/21/2020,0
6/28/2020,0
7/5/2020,0
7/12/2020,0
7/19/2020,0
7/26/2020,0
8/2/2020,0
8/9/2020,0
8/16/2020,0
8/23/2020,0
8/30/2020,0
9/6/2020,0
9/13/2020,0
9/20/2020,0
9/27/2020,0
10/4/2020,0
10/11/2020,0
10/18/2020,0
10/25/2020,0
11/1/2020,0
11/8/2020,0
11/15/2020,0
11/22/2020,0
11/29/2020,0
12/6/2020,0
12/13/2020,0
12/20/2020,0
12/27/2020,0
1/3/2021,0
1/10/2021,0
1/17/2021,0
1/24/2021,0
1/31/2021,0
2/7/2021,0
2/14/2021,0
2/21/2021,0
2/28/2021,0
3/7/2021,0
3/14/2021,0
3/21/2021,0
3/28/2021,0
4/4/2021,0
4/11/2021,0
4/18/2021,0
4/25/2021,0
5/2/2021,0
5/9/2021,0
5/16/2021,0
5/23/2021,0
5/30/2021,0
6/6/2021,0
6/13/2021,0
6/20/2021,0
6/27/2021,0
7/4/2021,0
7/11/2021,0
7/18/2021,0
7/25/2021,0
8/1/2021,0
8/8/2021,0
8/15/2021,0
8/22/2021,1
8/29/2021,0
9/5/2021,0
9/12/2021,0
9/19/2021,0
9/26/2021,0
10/3/2021,0
10/10/2021,0
10/17/2021,0
10/24/2021,0
10/31/2021,0
11/7/2021,0
11/14/2021,0
11/21/2021,0
11/28/2021,0
12/5/2021,0
12/12/2021,0
12/19/2021,0
12/26/2021,1
1/2/2022,0
1/9/2022,0
1/16/2022,0
1/23/2022,0
1/30/2022,0
2/6/2022,0
2/13/2022,0
2/20/2022,0
2/27/2022,1
3/6/2022,1
3/13/2022,0
3/20/2022,0
3/27/2022,1
4/3/2022,0
4/10/2022,0
4/17/2022,0
4/24/2022,1
5/1/2022,1
5/8/2022,1
5/15/2022,0
5/22/2022,0
5/29/2022,0
6/5/2022,1
6/12/2022,1
6/19/2022,0
6/26/2022,0
7/3/2022,0
7/10/2022,1
7/17/2022,0
7/24/2022,1
7/31/2022,1
8/7/2022,0
8/14/2022,1
8/21/2022,0
8/28/2022,0
9/4/2022,1
9/11/2022,1
9/18/2022,1
9/25/2022,1
10/2/2022,1
10/9/2022,2
10/16/2022,4
10/23/2022,5
10/30/2022,6
11/6/2022,5
11/13/2022,5
11/20/2022,4
11/27/2022,5
12/4/2022,8
12/11/2022,7
12/18/2022,6
12/25/2022,4
1/1/2023,7
1/8/2023,10
1/15/2023,13
1/22/2023,13
1/29/2023,21
2/5/2023,20
2/12/2023,20
2/19/2023,21
2/26/2023,23
3/5/2023,23
3/12/2023,27
3/19/2023,37
3/26/2023,38
4/2/2023,37
4/9/2023,43
4/16/2023,43
4/23/2023,47
4/30/2023,49
5/7/2023,54
5/14/2023,61
5/21/2023,81
5/28/2023,89
6/4/2023,100
6/11/2023,95
6/18/2023,79
6/25/2023,80
7/2/2023,63
7/9/2023,78
7/16/2023,78
7/23/2023,76
7/30/2023,77
8/6/2023,77
8/13/2023,74
8/20/2023,78
8/27/2023,78
9/3/2023,66
9/10/2023,76
9/17/2023,78
9/24/2023,83
10/1/2023,78
10/8/2023,70
10/15/2023,76
10/22/2023,82
10/29/2023,77
11/5/2023,71
11/12/2023,74
11/19/2023,56
11/26/2023,77
12/3/2023,75
12/10/2023,69
12/17/2023,60
12/24/2023,43
12/31/2023,53
1/7/2024,69
1/14/2024,69
1/21/2024,77
1/28/2024,78
2/4/2024,80
2/11/2024,81
2/18/2024,82
2/25/2024,83
3/3/2024,82
3/10/2024,81
3/17/2024,87
3/24/2024,83
3/31/2024,78
4/7/2024,78
4/14/2024,83
4/21/2024,80
4/28/2024,73
5/5/2024,75
5/12/2024,85
5/19/2024,80
5/26/2024,73
6/2/2024,83
6/9/2024,80
6/16/2024,72
6/23/2024,75
6/30/2024,63
7/7/2024,78
7/14/2024,67
7/21/2024,71
7/28/2024,66
8/4/2024,64
8/11/2024,66
8/18/2024,71
8/25/2024,67
9/1/2024,68
9/8/2024,75
9/15/2024,72
9/22/2024,74
9/29/2024,73
10/6/2024,76
10/13/2024,75
10/20/2024,79
10/27/2024,80
11/3/2024,70
11/10/2024,76
11/17/2024,67
