State,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,9/1/23,10/1/23,11/1/23,12/1/23,1/1/24,2/1/24,3/1/24,4/1/24,5/1/24,6/1/24,7/1/24,8/1/24,9/1/24,10/1/24
District of Columbia,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Massachusetts,58,0,89,52,55,55,38,73,66,62,59,55,49,55,54,58,65,59,55,48,50,56,55,68
California,100,100,100,68,50,51,37,59,60,45,42,40,33,41,43,47,52,41,51,43,40,47,44,57
Washington,44,72,82,64,47,50,36,67,66,51,47,49,43,47,41,51,60,49,59,43,38,46,38,63
New York,58,48,60,50,39,41,30,50,49,36,34,37,32,37,36,42,51,43,83,87,84,98,81,96
Virginia,0,40,31,25,29,37,30,51,52,44,41,35,36,40,43,44,51,42,53,47,46,52,47,59
New Jersey,51,35,28,41,34,37,28,50,53,41,40,37,33,41,44,42,49,41,56,45,34,43,39,47
Illinois,0,29,40,30,20,29,22,41,44,31,30,31,28,31,34,35,33,33,37,32,31,34,38,44
Colorado,0,0,0,23,23,29,18,35,45,32,28,29,27,34,35,36,35,29,34,32,24,39,32,39
Hawaii,0,0,0,0,0,25,0,22,25,19,17,21,15,31,26,25,19,25,0,24,0,26,30,31
Connecticut,0,0,40,0,15,24,23,43,45,37,33,25,29,36,33,27,28,37,37,28,34,31,30,36
Maryland,82,0,31,31,20,22,21,33,37,25,32,30,28,31,34,41,40,35,45,33,37,47,43,51
Oregon,0,0,54,39,29,21,24,39,30,30,21,27,20,24,23,25,32,30,34,36,32,41,34,35
Pennsylvania,0,27,18,24,19,20,16,33,28,26,26,25,26,27,24,29,35,30,29,27,28,26,33,38
Georgia,0,0,20,15,18,20,15,31,35,30,27,25,24,25,28,33,34,33,35,30,34,36,34,39
Utah,0,0,0,0,21,19,10,32,33,25,21,22,20,36,31,23,34,26,32,29,15,32,27,34
Texas,17,13,21,20,19,19,16,31,34,29,26,24,23,25,26,31,34,29,30,31,32,34,31,39
Nebraska,0,0,0,0,0,17,0,0,22,20,14,12,0,0,13,19,28,14,19,16,22,29,30,20
North Carolina,0,0,20,22,17,16,15,33,29,25,26,22,24,26,28,29,31,28,31,30,31,32,32,38
Minnesota,0,0,0,27,22,16,16,25,30,26,21,30,21,25,27,34,28,35,25,32,24,30,26,35
Nevada,0,0,0,0,22,15,15,27,19,20,15,22,27,21,24,14,24,24,26,22,20,30,26,39
Florida,0,29,15,13,12,15,12,23,21,21,17,17,15,18,18,21,21,25,24,20,21,24,22,27
Michigan,34,0,0,15,13,14,10,24,22,21,21,18,15,20,21,22,26,24,23,25,19,24,22,38
Wisconsin,65,0,0,22,10,13,12,23,18,27,16,21,16,25,17,23,21,18,21,16,19,19,26,39
Ohio,0,32,18,20,13,13,9,25,24,19,17,18,16,20,21,25,22,24,25,23,23,23,31,29
Arizona,0,0,0,17,18,12,12,26,23,27,26,19,18,25,20,23,26,25,26,19,24,26,31,36
Missouri,0,0,0,16,12,12,8,24,19,15,20,17,17,15,20,19,23,22,25,19,16,23,28,40
Tennessee,0,0,0,18,7,10,12,20,19,14,18,16,14,17,15,22,21,24,24,14,22,21,19,31
South Carolina,0,0,0,0,9,9,7,15,16,13,12,11,10,14,12,19,19,14,22,14,15,21,18,25
Indiana,0,0,0,14,13,9,8,17,19,18,19,17,13,15,21,23,24,17,23,16,23,30,27,38
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,20,24,21,34,29,24,32,31,26,30,21,22,44,25,0,34,25,70
New Mexico,0,0,0,0,0,0,0,0,23,0,0,0,11,13,17,13,0,0,25,0,0,20,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,16,0,0,0,0,20,0,0,0,0,27,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,11,0,10,0,12,0,11,12,10,0,11,0,0,0,0,14,16
Oklahoma,0,0,0,0,0,0,5,11,16,9,10,19,13,10,13,17,14,13,18,20,10,18,19,24
Maine,0,0,0,0,0,0,13,35,30,26,16,15,0,27,23,20,0,18,37,17,22,0,29,26
Louisiana,0,0,0,0,0,0,0,11,15,11,15,11,9,17,8,15,13,14,18,14,11,14,17,16
Rhode Island,0,0,0,0,0,0,13,36,24,33,22,23,0,22,31,25,26,28,0,26,0,29,23,43
Kentucky,0,0,0,0,0,0,9,17,19,13,10,14,14,9,7,17,23,20,14,17,12,15,23,20
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,12,20,28,13,12,19,16,22,10,14,23,33,26,20,30,21,31,30
Idaho,0,0,0,0,0,0,10,16,19,24,20,16,10,15,27,20,0,19,17,21,25,19,0,32
Iowa,0,0,0,0,0,0,11,18,0,21,14,13,11,21,19,16,19,10,29,21,19,16,30,39
Delaware,0,0,0,0,0,0,0,26,32,29,0,0,0,34,0,0,39,0,39,55,30,30,0,35
Vermont,0,0,0,0,0,0,0,0,0,32,0,27,0,0,35,0,0,39,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,8,18,11,0,10,14,11,11,11,14,14,20,16,19,12,19,19,28
Alabama,0,0,0,0,0,0,4,16,17,13,10,12,11,7,12,11,15,15,13,19,14,20,21,25
West Virginia,0,0,0,0,0,0,0,16,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
